Unnamed: 0,Price,Size,Bed,Bath,Location
1660,10000000,1340.0,3,3,Uttara
1661,9600000,1300.0,3,3,Uttara
1698,16000000,1992.0,3,3,Uttara
1713,12200000,1626.0,3,3,Uttara
1716,10500000,1506.0,3,3,Uttara
1719,11399999,1685.0,3,4,Uttara
1744,11500000,1770.0,4,5,Uttara
1745,9130000,1320.0,3,3,Uttara
1762,14000000,1708.0,3,3,Uttara
1782,12500000,1450.0,3,3,Uttara
1785,8800000,1501.0,3,4,Uttara
1787,7752000,1360.0,3,3,Uttara
1811,9130000,1320.0,3,3,Uttara
1813,8400000,1320.0,3,3,Uttara
1824,4200000,1008.0,2,2,Uttara
1834,12000000,1820.0,3,3,Uttara
1862,6500000,1084.0,3,3,Uttara
1863,23000000,2100.0,3,4,Uttara
1869,9500000,1700.0,3,3,Uttara
1871,10500000,1430.0,3,3,Uttara
1883,8500000,1290.0,3,3,Uttara
1887,9000000,1450.0,3,3,Uttara
1891,9000000,1150.0,3,3,Uttara
1892,4000000,772.0,2,2,Uttara
1894,13000000,1500.0,3,3,Uttara
1901,10000000,1518.0,3,5,Uttara
1906,6600000,1010.0,3,2,Uttara
1910,16500000,1913.0,3,4,Uttara
1914,9500000,1710.0,4,3,Uttara
1920,12200000,1670.0,3,4,Uttara
1924,12000000,1500.0,3,3,Uttara
1932,13500000,2232.0,4,4,Uttara
1979,12000000,1534.0,3,4,Uttara
2011,20000000,2260.0,4,4,Uttara
2017,20000000,2260.0,4,4,Uttara
2029,12000000,1170.0,3,3,Uttara
2030,17000000,2245.0,4,3,Uttara
2040,19900000,1900.0,3,3,Uttara
2076,11700000,2160.0,3,4,Uttara
2133,8500000,1654.0,3,4,Uttara
2143,9200000,1450.0,3,3,Uttara
2153,19000000,2600.0,4,4,Uttara
2188,11700000,2160.0,3,4,Uttara
2223,16000000,1734.0,3,4,Uttara
2230,7000000,1280.0,3,3,Uttara
2241,14000000,1885.0,3,4,Uttara
2242,5500000,1120.0,3,3,Uttara
2316,9000000,1297.0,3,3,Uttara
2324,22500000,2050.0,3,3,Uttara
2325,24100000,2190.0,3,3,Uttara
2326,24800000,2250.0,3,3,Uttara
2330,6500000,1085.0,2,2,Uttara
2334,12500000,1587.0,3,4,Uttara
2336,22500000,2050.0,3,3,Uttara
